Mass	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
2.4375	1.8458071876503723e-11	1.6719610071436186e-11	1.6465929314479766e-11	1.598799391488992e-11	1.6024199328557032e-11	1.566810570174937e-11	1.5912264561546152e-11	1.5730304211980517e-11	1.562252063824765e-11	1.543675083592877e-11	1.5059701749531307e-11	1.5160470101527324e-11	1.598001245217695e-11	1.5212206494474856e-11	1.5424678895259447e-11	1.5324365040814136e-11	1.575263010311634e-11	1.5494900501566988e-11	1.5779976283991637e-11	1.620241961430846e-11	1.5796858612859843e-11
2.46875	1.1248189879520254e-11	1.0230568996127953e-11	1.0159092317385543e-11	9.874140567689427e-12	9.966982100761967e-12	9.606941978046457e-12	9.978500664642453e-12	9.685374897927534e-12	9.631831790479772e-12	9.40184128467303e-12	9.228239700176388e-12	9.292132167881828e-12	9.741462844714555e-12	9.291267408229054e-12	9.514975612967547e-12	9.370260643792871e-12	9.718360664823233e-12	9.542603686407691e-12	9.766500108643328e-12	1.0007950197732374e-11	9.731528950729373e-12
2.5	6.368072735796204e-12	5.842931173616339e-12	5.875766019569628e-12	5.724087870362382e-12	5.8429138263815794e-12	5.5137257606863166e-12	5.8924180638963986e-12	5.608738733869911e-12	5.58103173051161e-12	5.416015292497578e-12	5.304427903862763e-12	5.328069582755113e-12	5.602920471331485e-12	5.353943850761045e-12	5.521152979248711e-12	5.402085029304615e-12	5.625608919673786e-12	5.544429498849368e-12	5.6649728311097824e-12	5.779988467013997e-12	5.6367788041356e-12
2.53125	3.772986263694822e-12	3.4891527601194072e-12	3.557259955350167e-12	3.4953888741751094e-12	3.5774343556949084e-12	3.3139324617792454e-12	3.610407329004972e-12	3.414251086714115e-12	3.375515578857291e-12	3.3204411442611104e-12	3.2190782157937026e-12	3.216813100614946e-12	3.458863187186245e-12	3.2598314238935222e-12	3.382069580989966e-12	3.3203335914056e-12	3.410443802365215e-12	3.4261981272931674e-12	3.4270574659350794e-12	3.4790510316379253e-12	3.4234776472019668e-12
2.5625	2.655127636849719e-12	2.4405566543400647e-12	2.5320546440804614e-12	2.5206206479694293e-12	2.5457307702841936e-12	2.342916442452103e-12	2.5481971133861636e-12	2.4328130655837388e-12	2.367245505521809e-12	2.4001740265428007e-12	2.3172947935523602e-12	2.303800596473171e-12	2.5404439836507198e-12	2.3307204690542482e-12	2.441037823264214e-12	2.4110691741741075e-12	2.4146782663658772e-12	2.4830764614597323e-12	2.4078081108797056e-12	2.43304313328474e-12	2.410586053686048e-12
2.59375	2.2260834668663687e-12	2.0173778012694266e-12	2.1439584049071092e-12	2.139117659047396e-12	2.131107573397073e-12	1.963981928476688e-12	2.1142985365957268e-12	2.024352473845026e-12	1.946689771187282e-12	2.032838090568201e-12	1.9868817962426233e-12	1.938650412078302e-12	2.163985570596827e-12	1.9595763813690104e-12	2.051778885681088e-12	2.020795206517101e-12	2.018919536758701e-12	2.0725248774111638e-12	1.9766885610977836e-12	2.002221522259817e-12	1.978978829766942e-12
2.625	2.051592186066986e-12	1.8422390349326356e-12	1.9957501363326857e-12	1.9688911959137023e-12	1.9603812930618636e-12	1.8107444797049732e-12	1.9467103710285594e-12	1.830805689342907e-12	1.7617783317283586e-12	1.8889748706202303e-12	1.866596287258826e-12	1.7560804156310783e-12	1.9825241708709695e-12	1.8147707728927154e-12	1.8628746548815522e-12	1.820714369202281e-12	1.8727020802133953e-12	1.876493101529708e-12	1.766356050141027e-12	1.824103368353036e-12	1.7879069535639558e-12
2.65625	1.9671599418846775e-12	1.7618342765604589e-12	1.915823402698358e-12	1.856413026773973e-12	1.8667034064334675e-12	1.7284473548609403e-12	1.8758475675562103e-12	1.7210838873862877e-12	1.6717514959158075e-12	1.8227485493182982e-12	1.7874855241795107e-12	1.642427513437461e-12	1.863289904313614e-12	1.7503473713834095e-12	1.7461112850752913e-12	1.708956110305082e-12	1.8128231121100624e-12	1.779096943550773e-12	1.6344318476760322e-12	1.7400488602076214e-12	1.68439914793872e-12
2.6875	1.9114562363475862e-12	1.7284922408308812e-12	1.8524968885269555e-12	1.7628361877880527e-12	1.7852562960926632e-12	1.6631420633045346e-12	1.8225518750442093e-12	1.655974402742233e-12	1.6355973650114541e-12	1.7702522390680708e-12	1.6991981823324953e-12	1.5916781781477596e-12	1.7526764544903428e-12	1.7002830350262843e-12	1.649257661863468e-12	1.651111105477332e-12	1.7571698219739917e-12	1.7152068610901128e-12	1.5562024325427304e-12	1.6824769659071204e-12	1.60522354956949e-12
2.71875	1.8515887607872816e-12	1.7162667771339346e-12	1.7900289540559444e-12	1.692281948253993e-12	1.6982383381491939e-12	1.6017173481638891e-12	1.7499869825812753e-12	1.6139783736920932e-12	1.6207244964497325e-12	1.7113433066484607e-12	1.609631048241078e-12	1.5967675315656238e-12	1.644436648483294e-12	1.6425943721518066e-12	1.5462674543553767e-12	1.6187987365509637e-12	1.6729598392370426e-12	1.6437177140227188e-12	1.5342982960520057e-12	1.6226848423978035e-12	1.5335890109907657e-12
